"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6140","verify valid login @login","Google Chrome","Sun Jun 21 13:58:11 UTC 2026","failed","Sun Jun 21 13:58:17 UTC 2026","","loginpage.spec.ts","",""
"","3710","verify Invalid login @wip","Google Chrome","Sun Jun 21 13:58:19 UTC 2026","failed","Sun Jun 21 13:58:22 UTC 2026","","loginpage.spec.ts","",""
